Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,,,,roche bartyne,4.61937078,50.66904218,178.468,Global,0.120,0.148,0.368,0.191,1.914,m,SINGLE,NONE,2026-03-11 09:19:49.0 UTC+01:00,2026-03-11 09:19:54.0 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
2,,,,,,grosse marche dessus,4.61944532,50.66898756,179.355,Global,0.141,0.170,0.418,0.221,1.914,m,SINGLE,NONE,2026-03-11 09:20:59.4 UTC+01:00,2026-03-11 09:21:04.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
3,,,,,,grosse marche devant,4.61944347,50.66898613,178.834,Global,0.131,0.174,0.453,0.218,1.914,m,SINGLE,NONE,2026-03-11 09:21:17.2 UTC+01:00,2026-03-11 09:21:22.2 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
4,,,,,,bord vers A10,4.61930363,50.66884996,180.166,Global,0.120,0.181,0.342,0.217,1.914,m,SINGLE,NONE,2026-03-11 09:22:44.8 UTC+01:00,2026-03-11 09:22:49.8 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
5,,,,,,lampadaire 1,4.61926826,50.66885727,179.557,Global,0.111,0.181,0.364,0.213,1.914,m,SINGLE,NONE,2026-03-11 09:23:30.6 UTC+01:00,2026-03-11 09:23:35.6 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
6,,,,,,arbre ruban,4.61921865,50.66887525,182.165,Global,0.121,0.146,0.255,0.190,1.914,m,SINGLE,NONE,2026-03-11 09:24:26.0 UTC+01:00,2026-03-11 09:24:31.0 UTC+01:00,26,1.2,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
7,,,,,,debut petites marches (vers A10),4.61929225,50.66893173,180.526,Global,0.104,0.132,0.272,0.168,1.914,m,SINGLE,NONE,2026-03-11 09:25:09.4 UTC+01:00,2026-03-11 09:25:14.4 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
8,,,,,,lampadaire 2,4.61926684,50.66895300,179.556,Global,0.171,0.170,0.332,0.241,1.914,m,SINGLE,NONE,2026-03-11 09:25:49.8 UTC+01:00,2026-03-11 09:25:54.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
9,,,,,,sapin de noel,4.61922748,50.66902406,179.050,Global,0.147,0.193,0.343,0.242,1.914,m,SINGLE,NONE,2026-03-11 09:26:23.8 UTC+01:00,2026-03-11 09:26:28.8 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
10,,,,,,lampadaire 3,4.61925549,50.66907062,178.010,Global,0.133,0.223,0.343,0.260,1.914,m,SINGLE,NONE,2026-03-11 09:27:12.8 UTC+01:00,2026-03-11 09:27:17.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
11,,,,,,bord lavoisier,4.61923840,50.66914092,176.003,Global,0.106,0.152,0.328,0.185,1.914,m,SINGLE,NONE,2026-03-11 09:28:02.0 UTC+01:00,2026-03-11 09:28:07.0 UTC+01:00,26,1.6,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
12,,,,,,bord mercator,4.61949005,50.66914094,179.005,Global,0.192,0.250,0.609,0.315,1.914,m,SINGLE,NONE,2026-03-11 09:28:49.8 UTC+01:00,2026-03-11 09:28:54.8 UTC+01:00,26,2.1,2.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
13,,,,,,gros tilleul,4.61951055,50.66911574,181.122,Global,0.252,0.384,0.784,0.460,1.914,m,SINGLE,NONE,2026-03-11 09:29:38.4 UTC+01:00,2026-03-11 09:29:43.4 UTC+01:00,26,2.5,3.0,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
14,,,,,,mur de végétation,4.61944898,50.66904430,177.335,Global,0.141,0.150,0.446,0.206,1.914,m,SINGLE,NONE,2026-03-11 09:30:27.4 UTC+01:00,2026-03-11 09:30:32.4 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
15,,,,,,mur de mini haies,4.61946134,50.66895548,178.460,Global,0.153,0.194,0.508,0.247,1.914,m,SINGLE,NONE,2026-03-11 09:31:13.8 UTC+01:00,2026-03-11 09:31:18.8 UTC+01:00,26,1.5,1.7,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
16,,,,,,bord sciences,4.61943365,50.66885706,179.343,Global,0.172,0.251,0.531,0.304,1.914,m,SINGLE,NONE,2026-03-11 09:32:04.8 UTC+01:00,2026-03-11 09:32:09.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
bord resto U,,,,,,bord sciences,4.61917627,50.66883222,180.716,Global,0.233,0.328,0.303,0.402,1.914,m,SINGLE,NONE,2026-03-11 09:32:43.6 UTC+01:00,2026-03-11 09:32:48.6 UTC+01:00,26,1.3,1.4,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
bord resto U1,,,,,,bord sciences,4.61916882,50.66883552,180.709,Global,0.128,0.184,0.286,0.224,1.914,m,SINGLE,NONE,2026-03-11 09:33:16.4 UTC+01:00,2026-03-11 09:33:21.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
17,,,,,,bord arbre rubans,4.61914984,50.66887530,181.096,Global,0.150,0.160,0.280,0.220,1.914,m,SINGLE,NONE,2026-03-11 09:34:19.2 UTC+01:00,2026-03-11 09:34:24.2 UTC+01:00,26,1.2,1.3,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
18,,,,,,rocher hauteur,4.61937938,50.66904130,180.046,Global,0.121,0.191,0.314,0.226,1.914,m,SINGLE,NONE,2026-03-11 10:26:01.8 UTC+01:00,2026-03-11 10:26:06.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2+,8243B289262FD9BE
